timestamp,region,interchange
2024-02-01T00,CAL,-6654.0
2024-02-01T00,CAR,-729.0
2024-02-01T00,CENT,458.0
2024-02-01T00,FLA,264.0
2024-02-01T00,MIDA,3343.0
2024-02-01T00,MIDW,-2748.0
2024-02-01T00,NE,-3426.0
2024-02-01T00,NW,5642.0
2024-02-01T00,NY,-3520.0
2024-02-01T00,SE,1434.0
2024-02-01T00,SW,3956.0
2024-02-01T00,TEN,-1028.0
2024-02-01T00,TEX,-225.0
2024-01-31T23,CAL,-7041.0
2024-01-31T23,CAR,-742.0
2024-01-31T23,CENT,467.0
2024-01-31T23,FLA,397.0
2024-01-31T23,MIDA,3616.0
2024-01-31T23,MIDW,-2923.0
2024-01-31T23,NE,-3289.0
2024-01-31T23,NW,5508.0
2024-01-31T23,NY,-3410.0
2024-01-31T23,SE,1673.0
2024-01-31T23,SW,4173.0
2024-01-31T23,TEN,-1145.0
2024-01-31T23,TEX,-72.0
2024-01-31T22,CAL,-6526.0
2024-01-31T22,CAR,-957.0
2024-01-31T22,CENT,501.0
2024-01-31T22,FLA,492.0
2024-01-31T22,MIDA,3691.0
2024-01-31T22,MIDW,-3066.0
2024-01-31T22,NE,-3256.0
2024-01-31T22,NW,5208.0
2024-01-31T22,NY,-2998.0
2024-01-31T22,SE,1997.0
2024-01-31T22,SW,3893.0
2024-01-31T22,TEN,-1103.0
2024-01-31T22,TEX,-11.0
2024-01-31T21,CAL,-5679.0
2024-01-31T21,CAR,-910.0
2024-01-31T21,CENT,501.0
2024-01-31T21,FLA,650.0
2024-01-31T21,MIDA,3779.0
2024-01-31T21,MIDW,-3161.0
2024-01-31T21,NE,-3363.0
2024-01-31T21,NW,4726.0
2024-01-31T21,NY,-3059.0
2024-01-31T21,SE,1845.0
2024-01-31T21,SW,3681.0
2024-01-31T21,TEN,-1073.0
2024-01-31T21,TEX,-11.0
2024-01-31T20,CAL,-5674.0
2024-01-31T20,CAR,-715.0
2024-01-31T20,CENT,506.0
2024-01-31T20,FLA,687.0
2024-01-31T20,MIDA,3678.0
2024-01-31T20,MIDW,-3105.0
2024-01-31T20,NE,-3383.0
2024-01-31T20,NW,5092.0
2024-01-31T20,NY,-2932.0
2024-01-31T20,SE,1906.0
2024-01-31T20,SW,3326.0
2024-01-31T20,TEN,-1219.0
2024-01-31T20,TEX,-11.0
2024-01-31T19,CAL,-5634.0
2024-01-31T19,CAR,-600.0
2024-01-31T19,CENT,512.0
2024-01-31T19,FLA,664.0
2024-01-31T19,MIDA,3680.0
2024-01-31T19,MIDW,-2990.0
2024-01-31T19,NE,-2981.0
2024-01-31T19,NW,5099.0
